435	74
33918	51
463	42
28536	39
446	39
96530	39
26852	38
13830	35
18176	34
27272	34
542	34
96522	34
96503	32
96519	31
461	30
14866	28
15835	27
489	26
33323	24
515	24
531	24
33931	23
462	23
71721	23
492	22
72757	22
27569	21
32535	21
25323	20
25728	20
460	20
24976	19
25632	19
25910	19
28172	19
28537	19
38366	19
44823	19
55087	19
72488	19
85822	19
96524	19
28606	18
546	18
58478	18
13831	17
15732	17
25102	17
43789	17
76007	17
86412	17
96525	17
96527	17
28551	16
28572	16
96517	16
96520	16
96521	16
13832	15
14589	15
16519	15
27409	15
28539	15
28621	15
28624	15
33938	15
33948	15
529	15
58418	15
72478	15
76075	15
15916	14
71723	14
90822	14
96487	14
96514	14
96515	14
26057	13
33924	13
33925	13
437	13
559	13
57908	13
72831	13
96532	13
96533	13
13814	12
14590	12
15115	12
15775	12
25598	12
43786	12
48141	12
504	12
520	12
57268	12
6288	12
62888	12
73665	12
83021	12
86352	12
86404	12
86413	12
86414	12
96537	12
10585	11
14937	11
15117	11
25707	11
28611	11
28613	11
43779	11
44541	11
45874	11
490	11
86397	11
96518	11
96535	11
10563	10
10565	10
16391	10
18107	10
24947	10
33949	10
44903	10
495	10
57888	10
58493	10
71704	10
84720	10
86400	10
96495	10
96499	10
96526	10
13878	9
14582	9
25451	9
27153	9
27528	9
27568	9
28555	9
33322	9
33902	9
43770	9
43787	9
44544	9
44958	9
48073	9
496	9
549	9
55619	9
71722	9
72483	9
72837	9
72892	9
73623	9
84744	9
90834	9
96498	9
11326	8
14099	8
15774	8
24808	8
28627	8
33950	8
38376	8
3986	8
454	8
45732	8
467	8
528	8
58470	8
72482	8
73009	8
75320	8
76002	8
76693	8
83650	8
96523	8
96529	8
96534	8
10623	7
13823	7
14227	7
14579	7
14585	7
14586	7
14595	7
14951	7
15129	7
15754	7
17415	7
18053	7
23071	7
25475	7
28545	7
28603	7
33750	7
33919	7
34907	7
438	7
44897	7
45073	7
45075	7
45731	7
464	7
505	7
506	7
519	7
58463	7
58466	7
71768	7
73007	7
83553	7
85202	7
9643	7
96504	7
96505	7
96512	7
96513	7
96531	7
96538	7
96540	7
10641	6
13833	6
13893	6
14581	6
17124	6
26237	6
26814	6
27863	6
28575	6
38378	6
44554	6
450	6
451	6
45792	6
46477	6
507	6
52307	6
523	6
525	6
54960	6
57407	6
57491	6
67224	6
71703	6
71713	6
71720	6
72846	6
73666	6
73726	6
74644	6
74968	6
75017	6
75116	6
83901	6
85341	6
85501	6
86351	6
86427	6
88311	6
96481	6
96510	6
96516	6
96543	6
96544	6
10624	5
10644	5
12236	5
14917	5
14956	5
15124	5
15209	5
15406	5
17075	5
17212	5
17420	5
